ids,filename,filepath,uri,artist,title,year_start,year_end,material,dims_h_in,dims_w_in,dims_d_in,dims_h_cm,dims_w_cm,dims_d_cm,dims,price,artsy,price
1001,,,,Jeff Kraus,MBTS-1,2018,,"acrylic, spray paint on panel",16,12,1.5,40.64,30.48,3.81,,1900,,1900
1002,,,,Jeff Kraus,MBTS-2,2018,,"acrylic, spray paint on canvas",44,33,1.5,111.76,83.82,3.81,,3100,,3100
1003,,,,Jeff Kraus,MBTS-3,2018,,"acrylic, spray paint on canvas",36,30,1.5,91.44,76.2,3.81,,2700,,2700
1004,,,,Jeff Kraus,MBTS-4,2018,,"acrylic, spray paint on canvas",40,38,1.5,101.6,96.52,3.81,,2900,,2900
1005,,,,Jeff Kraus,MBTS-5,2019,,"acrylic, spray paint on panel",16,12,1.5,40.64,30.48,3.81,,1900,,1900
1006,,,,Jeff Kraus,MBTS-6,2019,,"acrylic, spray paint on canvas",14,12,1.5,35.56,30.48,3.81,,1600,,1600
1007,,,,Jeff Kraus,MBTS-7,2019,,"acrylic, spray paint on canvas",14,12,1.5,35.56,30.48,3.81,,1600,,1600
1008,,,,Jeff Kraus,MBTS-9,2019,,"acrylic, spray paint on canvas",14,12,1.5,35.56,30.48,3.81,,1600,,1600
1009,,,,Jeff Kraus,MBTS-10,2019,,"acrylic, spray paint on canvas",14,12,1.5,35.56,30.48,3.81,,1600,,1600
1010,,,,Clary Stolte,Transparent depth surface,2019,,glue and fabric on frame,11.81,9.45,,30,24,,,1600,,1600
1011,,,,Clary Stolte,Transparent depth surface,2018,,fusible interface on frame,11.81,9.45,,30,24,,,1600,,1600
1012,,,,Clary Stolte,Plastic volume surface 3,2017,2019,plastic tape,9.45,9.45,,24,24,,,1500,,1500
1013,,,,Clary Stolte,Perforated volume surface 5,2011,,paper,9.45,9.45,,24,24,,,1500,,1500
1014,,,,Clary Stolte,Density #2,,,quilting filler ,13.78,17.72,,35,45,,,950,,950
